Time	J1	J2	J3	J4	J5	J6	J7	J8	X	Y	Z	A	B	C	L1	L2
16:17:45,180	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:45,442	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:45,712	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:45,975	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:46,234	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:46,506	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:46,774	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:47,046	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:47,314	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:47,585	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:47,866	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:48,138	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:48,409	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:48,682	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:48,951	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
16:17:49,219	-1,370	49,020	33,720	0,000	40,550	0,330	0,000	0,000	407,530	-9,760	444,630	1,090	123,290	0,000	0,000	0,000
