Time	Cur J1	Cur J2	Cur J3	Cur J4	Cur J5	Cur J6	Cur J7	Cur J8	Max J1	Max J2	Max J3	Max J4	Max J5	Max J6	Max J7	Max J8	Abs Max J1	Abs Max J2	Abs Max J3	Abs Max J4	Abs Max J5	Abs Max J6	Abs Max J7	Abs Max J8
14:31:32,700	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:32,909	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:33,238	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:33,465	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:33,779	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:33,985	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:34,314	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:34,521	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:34,824	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
14:31:35,101	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,4100	0,8700	0,7300	0,0000	0,2000	0,0700	0,0000	0,0000
